pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Irlanda,financiacion_pyme,Ratio de NPL | Total,7.4000,pct_cartera,2018,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | Total,4.7000,pct_cartera,2019,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | Total,5.4000,pct_cartera,2020,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | Total,6.9000,pct_cartera,2021,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | Total,6.5000,pct_cartera,2022,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,1.5000,pct_cartera,2007,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,2.2000,pct_cartera,2008,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,3.9000,pct_cartera,2009,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,4.1000,pct_cartera,2010,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,6.0000,pct_cartera,2011,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,9.4000,pct_cartera,2012,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,11.8000,pct_cartera,2013,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,14.2000,pct_cartera,2014,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,15.2000,pct_cartera,2015,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,15.0000,pct_cartera,2016,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,12.7000,pct_cartera,2017,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,7.8000,pct_cartera,2018,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,4.6000,pct_cartera,2019,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,3.3232,pct_cartera,2020,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,2.3000,pct_cartera,2021,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Portugal,financiacion_pyme,Ratio de NPL | Total,2.0500,pct_cartera,2022,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Espana,financiacion_pyme,Ratio de NPL | Total,5.8100,pct_cartera,2010,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Espana,financiacion_pyme,Ratio de NPL | Total,7.8400,pct_cartera,2011,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Espana,financiacion_pyme,Ratio de NPL | Total,10.4300,pct_cartera,2012,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Espana,financiacion_pyme,Ratio de NPL | Total,13.6200,pct_cartera,2013,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Espana,financiacion_pyme,Ratio de NPL | Total,12.5100,pct_cartera,2014,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Espana,financiacion_pyme,Ratio de NPL | Total,10.1200,pct_cartera,2015,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
