pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Portugal,financiacion_pyme,Volumen de factoring | Total,732.7880,eur_millones,2010,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Portugal,financiacion_pyme,Volumen de factoring | Total,402.0877,eur_millones,2011,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Portugal,financiacion_pyme,Volumen de factoring | Total,338.0043,eur_millones,2012,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Portugal,financiacion_pyme,Volumen de factoring | Total,375.9450,eur_millones,2013,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Portugal,financiacion_pyme,Volumen de factoring | Total,476.1440,eur_millones,2014,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Portugal,financiacion_pyme,Volumen de factoring | Total,546.7274,eur_millones,2015,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Portugal,financiacion_pyme,Volumen de factoring | Total,440.7165,eur_millones,2016,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Portugal,financiacion_pyme,Volumen de factoring | Total,418.3439,eur_millones,2017,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Portugal,financiacion_pyme,Volumen de factoring | Total,929.6370,eur_millones,2018,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Portugal,financiacion_pyme,Volumen de factoring | Total,855.2272,eur_millones,2019,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Portugal,financiacion_pyme,Volumen de factoring | Total,513.2278,eur_millones,2020,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Portugal,financiacion_pyme,Volumen de factoring | Total,99.0000,eur_millones,2021,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
Portugal,financiacion_pyme,Volumen de factoring | Total,113.0000,eur_millones,2022,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,volumen,dato_unico,"medida FACTORING; definicion nacional de PYME, no armonizada entre paises; unidad original EUR"
